Year,UK,India,South_Korea
2011,22069.57985,6197.267164,7512.437663
2012,22173.09184,6288.082348,7910.792834
2013,26460.72369,7405.772542,8691.640153
2014,28774.54799,7371.462355,9780.968938
2015,29155.2528,8017.721361,9878.392067
